"year_b","id_i","weight_d","respondent_age_o","respondent_education_level_o","in_the_workforce_b","household_income_quintile_o","main_source_emergency_funds_c","has_account_b","has_financial_institution_account_b","has_mobile_money_account_b","made_or_received_digital_payment_b","received_government_pension_b","received_government_transfers_c","received_government_pension_payment_c","used_phone_for_finance_b","owns_mobile_phone_b","saved_in_past_year_b","any_deposit_into_account_b","any_withdrawal_from_account_b","reason_no_account_c","borrowed_in_the_past_year_c"
2017,364,0.31527636317274,32,2,1,3,1,1,1,0,1,0,1,0,1,1,1,1,1,NA,2
2017,365,0.39839726823450866,35,2,0,2,1,1,1,1,1,0,0,0,1,1,1,1,1,NA,2
2017,366,0.2860514716047312,32,2,0,1,0,1,1,0,1,0,3,0,NA,1,1,1,1,NA,3
2017,371,1.9544700811243398,46,1,0,3,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,5,1
2017,372,2.9536587195081534,20,1,0,3,0,1,1,0,NA,0,0,0,0,1,0,0,1,NA,0
2017,373,0.5018008196914465,42,1,0,1,0,1,1,0,1,0,1,0,0,NA,0,0,1,NA,2
2017,374,1.1774564932445721,38,1,0,2,0,1,1,0,1,0,0,0,0,1,0,0,1,NA,4
2017,375,0.3924854977481907,37,1,0,2,0,1,1,0,1,0,0,0,0,1,1,0,0,NA,3
2017,376,1.1774564932445721,39,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,5,1
2017,377,0.2860514716047312,33,2,1,4,3,1,1,1,1,0,1,0,1,1,1,1,1,NA,1
2017,378,1.0548778435988544,33,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,NA,1
2017,380,0.9604547981379304,23,0,0,3,0,1,1,0,1,0,1,0,0,1,0,0,0,NA,1
2017,382,0.2860514716047312,45,0,1,0,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,1,1
2017,384,1.718512151801785,58,0,1,0,0,1,1,0,1,0,3,0,NA,0,1,0,0,NA,2
2017,386,0.33283865602001916,38,2,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,NA,1
2017,388,1.9544700811243398,43,0,0,1,0,0,0,0,0,0,3,0,NA,0,0,NA,NA,6,0
2017,389,1.1774564932445721,39,1,0,1,0,1,1,0,1,0,1,0,NA,1,0,0,1,NA,NA
2017,390,0.2860514716047312,43,1,0,3,0,1,1,0,1,0,1,0,0,1,1,1,1,NA,1
2017,391,0.38380159663673075,48,0,0,4,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1
2017,392,1.5510460226474918,20,1,0,2,0,1,1,0,1,0,0,0,0,1,1,1,1,NA,2
2017,399,0.6895992242227059,34,1,0,4,0,0,0,0,0,0,0,0,NA,1,0,NA,NA,6,0
2017,401,0.2860514716047312,31,2,1,4,3,1,1,0,1,0,0,0,1,1,1,1,1,NA,2
2017,402,0.43813380516643485,52,1,0,2,0,1,1,1,1,0,0,0,1,1,0,NA,NA,NA,1
2017,403,2.9536587195081534,20,1,1,2,0,1,1,0,1,0,1,0,0,1,1,1,1,NA,3
2017,406,1.3486831223808984,49,0,0,1,0,1,1,0,1,0,1,0,NA,0,0,NA,NA,7,3
2017,407,0.6895992242227059,35,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,2,0
2017,411,1.2377017856395345,29,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,NA,1
2017,412,2.9384095884850137,16,1,0,4,1,1,1,0,1,0,0,0,0,1,1,1,1,NA,0
2017,413,0.6188508928197672,16,1,0,3,0,1,1,1,1,0,1,0,NA,1,0,NA,NA,5,3
2017,414,2.9384095884850137,18,1,0,0,1,1,1,0,NA,0,NA,0,0,1,1,1,0,NA,0
2017,415,1.718512151801785,50,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,NA,2
2017,418,0.3924854977481907,30,1,0,0,0,1,1,0,1,0,1,0,NA,1,0,NA,NA,1,4
2017,420,2.8813643944137906,18,1,1,2,1,1,1,0,1,0,1,0,NA,0,1,NA,NA,3,0
2017,422,0.35692227578857944,30,2,0,2,1,1,1,0,1,0,1,0,0,1,1,0,0,NA,2
2017,423,0.7381938789318048,51,0,0,2,0,1,1,0,1,1,1,1,0,1,0,0,1,NA,2
2017,424,0.3472559390316637,36,2,0,1,0,1,1,0,1,0,1,0,NA,0,0,NA,NA,5,0
2017,425,0.7755230113237459,15,1,0,4,0,1,1,0,1,0,0,0,1,1,1,1,1,NA,4
2017,426,1.2970107918838882,60,0,0,4,0,1,1,0,1,1,1,1,0,0,0,1,1,NA,0
